,click_predicted,clicked_groundtruth
51265,0.0,0.0
12987,0.0,0.0
79336,0.0,0.0
23942,0.0,0.0
77445,0.0,0.0
42389,0.0,0.0
16047,0.0,0.0
23286,0.0,0.0
15264,0.0,0.0
43985,0.0,0.0
22072,0.0,0.0
70123,0.0,0.0
24951,0.0,0.0
32543,0.0,0.0
63373,0.0,0.0
83691,0.0,0.0
11216,0.0,0.0
34462,0.0,0.0
44808,0.0,0.0
6642,0.0,0.0
28167,0.0,0.0
42282,0.0,0.0
63064,0.0,0.0
21589,0.0,0.0
75351,0.0,0.0
57225,0.0,0.0
35206,0.0,0.0
69677,0.0,0.0
95690,0.0,0.0
46869,0.0,0.0
42790,0.0,0.0
46511,0.0,0.0
12868,0.0,0.0
42975,0.0,0.0
74099,0.0,0.0
43605,0.0,0.0
33518,0.0,0.0
7341,0.0,0.0
11980,1.0,0.0
22312,0.0,0.0
66408,0.0,0.0
78556,0.0,0.0
30510,0.0,0.0
86477,0.0,0.0
71890,0.0,0.0
74244,0.0,0.0
96072,0.0,0.0
66171,0.0,0.0
31186,0.0,0.0
36740,0.0,0.0
4084,0.0,0.0
54732,0.0,0.0
47751,0.0,0.0
44205,0.0,0.0
16479,0.0,0.0
52242,0.0,0.0
50216,0.0,0.0
56727,0.0,0.0
89805,0.0,0.0
54214,0.0,0.0
68685,0.0,0.0
73884,0.0,0.0
4425,0.0,0.0
55430,0.0,0.0
4904,0.0,0.0
71480,0.0,0.0
48845,0.0,0.0
77927,0.0,0.0
90720,0.0,0.0
76195,0.0,0.0
15630,0.0,0.0
19512,0.0,0.0
6026,0.0,0.0
42511,0.0,0.0
53234,0.0,0.0
65407,0.0,1.0
16150,0.0,0.0
59416,0.0,0.0
99940,0.0,0.0
34060,0.0,0.0
20159,0.0,0.0
30055,0.0,0.0
66922,0.0,0.0
1696,0.0,0.0
58952,0.0,0.0
86440,0.0,1.0
18476,0.0,0.0
76125,0.0,0.0
42020,0.0,0.0
43980,0.0,0.0
29449,0.0,0.0
49200,0.0,0.0
49135,0.0,0.0
34245,0.0,0.0
77921,0.0,0.0
57836,0.0,0.0
54644,0.0,0.0
91832,0.0,0.0
68783,0.0,0.0
14554,0.0,0.0
45428,0.0,0.0
91646,0.0,0.0
86976,0.0,0.0
94424,0.0,0.0
93158,0.0,0.0
53565,0.0,0.0
53124,0.0,0.0
77397,0.0,0.0
34187,0.0,0.0
35420,0.0,0.0
78266,0.0,0.0
31660,0.0,0.0
5088,0.0,0.0
94723,0.0,0.0
20500,0.0,0.0
27590,0.0,0.0
77439,0.0,0.0
30899,0.0,0.0
96911,0.0,0.0
18759,0.0,0.0
71812,0.0,0.0
48378,0.0,0.0
17974,0.0,0.0
61197,0.0,0.0
21657,0.0,0.0
78025,0.0,0.0
99961,0.0,0.0
57042,0.0,0.0
85544,0.0,0.0
45294,0.0,0.0
26155,0.0,0.0
8410,0.0,0.0
50538,0.0,0.0
60706,0.0,0.0
67573,0.0,0.0
77680,0.0,0.0
20498,0.0,0.0
81261,0.0,0.0
73987,0.0,0.0
62383,0.0,0.0
11607,0.0,0.0
67999,0.0,0.0
81530,0.0,0.0
8750,0.0,0.0
4368,0.0,0.0
41448,0.0,0.0
5159,0.0,0.0
83392,0.0,0.0
70870,0.0,0.0
28738,0.0,0.0
52384,0.0,0.0
64021,0.0,0.0
28305,0.0,0.0
28941,0.0,0.0
22324,0.0,0.0
94751,0.0,0.0
59801,0.0,0.0
65399,0.0,0.0
42618,0.0,0.0
10109,0.0,0.0
31886,0.0,0.0
18457,0.0,0.0
34841,0.0,0.0
96263,0.0,0.0
16685,0.0,0.0
30404,0.0,0.0
43364,0.0,0.0
96876,0.0,0.0
57498,0.0,0.0
73693,0.0,0.0
34442,0.0,0.0
86034,0.0,0.0
39561,0.0,0.0
64712,0.0,0.0
70485,0.0,0.0
26902,0.0,0.0
3731,0.0,0.0
44271,0.0,0.0
24653,0.0,0.0
81797,0.0,0.0
20513,0.0,0.0
61776,0.0,0.0
12277,0.0,0.0
16988,0.0,0.0
71932,0.0,0.0
24021,0.0,0.0
23779,0.0,0.0
61032,0.0,0.0
24548,0.0,0.0
76708,0.0,0.0
91238,0.0,1.0
16976,0.0,0.0
32970,0.0,0.0
81465,0.0,0.0
35815,0.0,0.0
69358,0.0,0.0
29492,0.0,0.0
35521,0.0,0.0
46995,0.0,0.0
13968,0.0,0.0
97721,0.0,0.0
58737,0.0,0.0
3297,0.0,0.0
5399,0.0,0.0
40678,0.0,0.0
64365,0.0,0.0
24484,0.0,0.0
23236,0.0,0.0
49450,0.0,0.0
31185,0.0,0.0
9299,0.0,0.0
44884,0.0,0.0
38059,0.0,0.0
35597,0.0,0.0
97087,0.0,0.0
184,0.0,0.0
68271,0.0,0.0
9258,0.0,0.0
25911,0.0,0.0
94673,0.0,0.0
78946,0.0,0.0
38721,0.0,0.0
68697,0.0,0.0
43338,0.0,0.0
22532,0.0,0.0
240,0.0,0.0
10186,0.0,0.0
56309,0.0,0.0
438,0.0,0.0
11271,0.0,0.0
92170,0.0,0.0
9232,0.0,0.0
99248,0.0,0.0
98038,0.0,0.0
16713,0.0,0.0
47092,0.0,0.0
81142,0.0,0.0
25970,0.0,0.0
96345,0.0,0.0
28417,0.0,0.0
76580,0.0,0.0
99035,0.0,0.0
49129,0.0,0.0
51135,0.0,0.0
75715,0.0,0.0
46484,0.0,0.0
35170,0.0,0.0
78185,0.0,0.0
20236,0.0,0.0
16847,0.0,0.0
21045,0.0,0.0
68708,0.0,0.0
16969,0.0,0.0
42125,0.0,0.0
51327,0.0,0.0
305,0.0,0.0
23795,0.0,0.0
51372,0.0,0.0
13653,0.0,0.0
86861,0.0,0.0
45803,0.0,0.0
72245,0.0,0.0
90785,0.0,0.0
63971,0.0,0.0
45539,0.0,0.0
13302,0.0,0.0
62451,0.0,0.0
12554,0.0,0.0
6071,0.0,0.0
96853,0.0,0.0
61853,0.0,0.0
87097,0.0,0.0
64519,0.0,0.0
12379,0.0,0.0
53956,0.0,0.0
68171,0.0,0.0
54633,0.0,0.0
32222,0.0,0.0
19364,0.0,0.0
99788,0.0,0.0
29207,0.0,0.0
66560,0.0,0.0
12656,0.0,0.0
87602,0.0,0.0
63760,0.0,0.0
89807,0.0,0.0
86006,0.0,0.0
49784,0.0,0.0
97718,0.0,0.0
21948,0.0,0.0
9160,0.0,0.0
89131,0.0,1.0
1422,0.0,0.0
29171,0.0,0.0
40820,0.0,0.0
38251,0.0,0.0
24796,0.0,0.0
97051,0.0,0.0
19397,0.0,0.0
46586,0.0,0.0
59720,0.0,0.0
72462,0.0,0.0
7886,0.0,0.0
17411,0.0,0.0
61545,0.0,0.0
29231,0.0,0.0
49277,0.0,0.0
30986,0.0,0.0
89216,0.0,0.0
81115,0.0,0.0
98316,0.0,0.0
47503,0.0,0.0
16844,0.0,0.0
42884,0.0,0.0
40360,0.0,0.0
76398,0.0,0.0
23436,0.0,1.0
30121,0.0,0.0
95676,0.0,0.0
10101,0.0,0.0
7838,0.0,0.0
3057,0.0,0.0
65184,0.0,0.0
84685,0.0,0.0
75506,0.0,0.0
70160,0.0,0.0
70590,0.0,0.0
95567,0.0,0.0
95501,0.0,0.0
48881,0.0,0.0
5616,0.0,0.0
43765,0.0,0.0
73747,0.0,0.0
86060,0.0,0.0
90875,0.0,0.0
72348,0.0,0.0
59314,0.0,0.0
26803,0.0,0.0
40276,0.0,0.0
986,0.0,0.0
63656,0.0,0.0
52174,0.0,0.0
57381,0.0,0.0
45893,0.0,1.0
68247,0.0,0.0
85653,0.0,0.0
19532,0.0,0.0
46696,0.0,0.0
83944,0.0,0.0
4690,0.0,0.0
97209,0.0,0.0
97337,0.0,0.0
54464,0.0,0.0
74706,0.0,0.0
80742,0.0,0.0
38625,0.0,0.0
78541,0.0,0.0
36170,0.0,0.0
22340,0.0,0.0
32409,0.0,0.0
19187,0.0,0.0
15005,0.0,0.0
75979,0.0,0.0
59974,0.0,0.0
32057,0.0,0.0
56196,0.0,0.0
26357,0.0,0.0
93241,0.0,0.0
71761,0.0,0.0
66261,0.0,0.0
60217,0.0,0.0
89093,0.0,0.0
63301,0.0,0.0
74832,0.0,0.0
90583,0.0,0.0
60078,0.0,0.0
68006,0.0,0.0
96161,0.0,0.0
34216,0.0,0.0
67794,0.0,0.0
52123,0.0,0.0
22969,0.0,1.0
81387,0.0,0.0
73543,0.0,0.0
82095,0.0,0.0
52670,0.0,0.0
92215,0.0,0.0
50345,0.0,0.0
94717,0.0,0.0
87574,0.0,0.0
61867,0.0,0.0
21170,0.0,0.0
68130,0.0,0.0
72706,0.0,0.0
59384,0.0,0.0
33252,0.0,0.0
89905,0.0,0.0
78217,0.0,0.0
41894,0.0,0.0
24818,0.0,0.0
89580,0.0,0.0
79935,0.0,0.0
94180,0.0,0.0
60528,0.0,0.0
43097,0.0,0.0
67697,0.0,0.0
16221,0.0,0.0
11631,0.0,0.0
20280,0.0,0.0
11224,0.0,0.0
14850,0.0,0.0
82232,0.0,0.0
56395,0.0,0.0
57015,0.0,0.0
75242,0.0,0.0
2930,0.0,0.0
3649,0.0,0.0
84317,0.0,0.0
79126,0.0,0.0
13064,0.0,0.0
24778,0.0,0.0
74084,0.0,0.0
25043,0.0,0.0
87128,0.0,0.0
31170,0.0,1.0
98516,0.0,0.0
1925,0.0,0.0
48076,0.0,0.0
71495,0.0,0.0
84117,0.0,0.0
22403,0.0,0.0
61426,0.0,0.0
54375,0.0,0.0
9928,0.0,0.0
81378,0.0,0.0
77836,0.0,0.0
51744,0.0,0.0
32530,0.0,0.0
7887,0.0,0.0
85841,0.0,0.0
49692,0.0,0.0
61981,0.0,0.0
3570,0.0,0.0
14000,0.0,0.0
88965,0.0,0.0
36788,0.0,0.0
1238,0.0,0.0
18412,0.0,0.0
20792,0.0,0.0
64195,0.0,0.0
97474,0.0,0.0
55223,0.0,0.0
75921,0.0,0.0
43124,0.0,0.0
37811,0.0,0.0
63865,0.0,0.0
50153,1.0,0.0
33982,0.0,0.0
79534,0.0,0.0
75236,0.0,0.0
46691,0.0,0.0
56540,0.0,0.0
73895,0.0,0.0
54437,0.0,0.0
13539,0.0,0.0
46006,0.0,0.0
44175,0.0,0.0
46328,0.0,0.0
60547,0.0,0.0
49471,0.0,1.0
53053,0.0,0.0
6219,0.0,0.0
98787,0.0,0.0
17301,0.0,0.0
6322,0.0,1.0
87220,0.0,0.0
73864,0.0,0.0
55655,0.0,0.0
6245,0.0,0.0
30476,0.0,0.0
64609,0.0,0.0
47462,0.0,0.0
35843,0.0,0.0
46658,0.0,0.0
74221,0.0,0.0
32890,0.0,0.0
37058,0.0,0.0
46408,0.0,0.0
55029,0.0,0.0
64625,0.0,0.0
95165,0.0,0.0
6045,0.0,0.0
55942,0.0,0.0
79486,0.0,0.0
93800,0.0,0.0
7642,0.0,0.0
65587,0.0,0.0
25588,0.0,0.0
46667,0.0,0.0
26328,0.0,0.0
30489,0.0,0.0
15133,0.0,0.0
62410,0.0,0.0
20526,0.0,0.0
76751,0.0,0.0
38270,0.0,0.0
57937,0.0,0.0
71201,0.0,0.0
24213,0.0,0.0
10272,0.0,0.0
19735,0.0,0.0
18413,0.0,0.0
69261,0.0,0.0
13584,0.0,0.0
5095,0.0,0.0
84965,0.0,0.0
28144,0.0,0.0
48835,0.0,0.0
71481,0.0,0.0
44136,0.0,0.0
72891,0.0,0.0
92723,0.0,0.0
74784,0.0,0.0
43965,0.0,0.0
97297,0.0,0.0
84599,0.0,0.0
85683,0.0,0.0
35241,0.0,0.0
76976,0.0,0.0
82633,0.0,0.0
87006,0.0,0.0
46353,0.0,0.0
19467,1.0,0.0
61615,0.0,0.0
63053,0.0,0.0
4725,0.0,0.0
11431,0.0,0.0
28464,0.0,0.0
15938,0.0,0.0
29631,0.0,0.0
35828,0.0,0.0
54970,0.0,0.0
65138,0.0,0.0
8127,0.0,0.0
41371,0.0,0.0
72686,0.0,0.0
12919,0.0,0.0
35408,0.0,0.0
3780,0.0,0.0
33373,0.0,0.0
1432,0.0,0.0
28162,0.0,0.0
63020,0.0,0.0
53265,0.0,0.0
72314,0.0,0.0
50132,0.0,0.0
52423,0.0,0.0
85503,0.0,0.0
41632,0.0,0.0
78640,0.0,0.0
88008,0.0,0.0
35688,0.0,0.0
44035,0.0,0.0
36023,0.0,0.0
44508,0.0,0.0
7484,0.0,0.0
94297,0.0,0.0
36382,0.0,0.0
22762,0.0,0.0
50946,0.0,0.0
74345,0.0,0.0
56675,0.0,0.0
87105,0.0,0.0
60805,0.0,0.0
36401,0.0,0.0
99758,0.0,0.0
89448,0.0,0.0
2408,0.0,0.0
41901,0.0,0.0
33347,0.0,0.0
26399,0.0,0.0
36128,0.0,0.0
24595,0.0,0.0
70337,0.0,0.0
44679,0.0,0.0
51312,0.0,0.0
10557,0.0,0.0
13461,0.0,0.0
74620,0.0,0.0
369,0.0,0.0
83001,0.0,0.0
48830,0.0,0.0
43506,0.0,0.0
52310,0.0,0.0
82438,0.0,0.0
80331,0.0,0.0
33757,0.0,0.0
42552,0.0,0.0
88894,0.0,0.0
60246,0.0,0.0
48158,0.0,0.0
33442,0.0,0.0
2377,0.0,0.0
9301,0.0,0.0
1531,0.0,0.0
84351,0.0,0.0
17178,0.0,0.0
90221,0.0,0.0
94553,0.0,0.0
11710,0.0,0.0
41431,0.0,0.0
3596,0.0,0.0
71502,0.0,0.0
65951,0.0,0.0
52886,0.0,0.0
67204,0.0,0.0
20921,0.0,0.0
77349,0.0,0.0
75297,0.0,0.0
75875,0.0,0.0
1657,0.0,0.0
15014,0.0,0.0
46826,0.0,0.0
1712,0.0,0.0
93810,0.0,0.0
19832,0.0,0.0
69973,0.0,0.0
54089,0.0,1.0
16270,0.0,0.0
50436,0.0,0.0
91075,0.0,0.0
42287,0.0,0.0
63073,0.0,0.0
4720,0.0,0.0
44351,0.0,0.0
9653,0.0,0.0
47939,0.0,0.0
43856,0.0,0.0
39391,0.0,0.0
35759,0.0,0.0
92855,0.0,0.0
63361,0.0,0.0
94720,0.0,0.0
60279,0.0,0.0
98797,0.0,0.0
66656,0.0,0.0
68968,0.0,0.0
23929,0.0,0.0
95095,0.0,0.0
20832,0.0,0.0
43173,0.0,0.0
53850,0.0,0.0
71074,0.0,0.0
31381,0.0,0.0
90146,0.0,0.0
83732,0.0,0.0
62321,0.0,0.0
47810,0.0,0.0
78041,0.0,0.0
17245,0.0,0.0
9679,0.0,0.0
20575,0.0,0.0
15799,0.0,0.0
52988,0.0,0.0
61190,0.0,0.0
83890,0.0,0.0
59057,0.0,0.0
6866,0.0,0.0
87796,0.0,0.0
7170,0.0,0.0
77565,0.0,0.0
41910,0.0,0.0
38222,0.0,0.0
41249,0.0,0.0
84514,0.0,0.0
48269,0.0,0.0
89458,0.0,0.0
82584,0.0,0.0
79419,0.0,0.0
49543,0.0,0.0
24175,0.0,0.0
82286,0.0,0.0
15429,0.0,0.0
88243,0.0,0.0
8619,0.0,0.0
57187,0.0,0.0
54862,0.0,0.0
95484,0.0,0.0
22378,0.0,0.0
37640,0.0,0.0
85265,0.0,0.0
6474,0.0,0.0
92505,0.0,0.0
63651,0.0,0.0
39147,0.0,0.0
60244,0.0,0.0
16737,0.0,0.0
2314,0.0,0.0
34068,0.0,0.0
33060,0.0,0.0
43667,0.0,0.0
57701,0.0,0.0
38402,0.0,0.0
9285,0.0,0.0
75336,0.0,0.0
82128,0.0,0.0
12778,0.0,0.0
54640,0.0,0.0
22681,0.0,0.0
67925,0.0,0.0
20228,0.0,0.0
94259,0.0,0.0
69628,0.0,0.0
78357,0.0,0.0
88048,0.0,0.0
54434,0.0,1.0
70864,0.0,0.0
29079,0.0,0.0
19237,0.0,0.0
82511,0.0,0.0
96412,0.0,0.0
49364,0.0,0.0
59856,0.0,0.0
11441,0.0,0.0
73986,0.0,0.0
13424,0.0,0.0
40791,0.0,0.0
68503,0.0,0.0
99726,0.0,0.0
73316,0.0,0.0
54251,0.0,0.0
83267,0.0,0.0
48402,0.0,0.0
37899,0.0,0.0
48677,0.0,0.0
5056,0.0,0.0
93163,0.0,0.0
8153,0.0,0.0
20430,0.0,0.0
77421,0.0,0.0
55670,0.0,0.0
69752,0.0,0.0
42682,0.0,0.0
6534,0.0,0.0
73101,0.0,0.0
11145,0.0,0.0
93219,0.0,0.0
37928,0.0,0.0
63412,0.0,0.0
11666,0.0,0.0
3311,0.0,0.0
96915,0.0,0.0
74799,0.0,0.0
93464,0.0,0.0
31167,0.0,0.0
48471,0.0,0.0
88992,0.0,1.0
70324,0.0,0.0
25369,0.0,0.0
7303,0.0,0.0
94744,0.0,0.0
15567,0.0,0.0
70668,0.0,0.0
29976,0.0,0.0
23812,0.0,0.0
71158,0.0,0.0
7322,0.0,0.0
24375,0.0,0.0
93376,0.0,0.0
18256,0.0,1.0
95922,0.0,0.0
38230,0.0,0.0
6,0.0,0.0
48771,0.0,0.0
48513,0.0,0.0
11491,0.0,0.0
50660,0.0,0.0
787,0.0,0.0
96017,0.0,0.0
12382,0.0,0.0
18515,0.0,0.0
74512,0.0,0.0
16709,0.0,0.0
25426,0.0,0.0
98896,0.0,0.0
20017,0.0,0.0
28084,0.0,0.0
48943,0.0,0.0
12832,0.0,0.0
30815,0.0,0.0
3787,0.0,0.0
10677,0.0,0.0
94554,0.0,0.0
4083,0.0,0.0
45213,0.0,0.0
16636,0.0,0.0
60159,0.0,0.0
98639,1.0,0.0
20221,0.0,0.0
46652,0.0,0.0
99466,0.0,0.0
64568,0.0,0.0
80457,0.0,0.0
47095,0.0,0.0
12658,0.0,0.0
90289,0.0,0.0
67599,0.0,0.0
22524,0.0,0.0
53635,0.0,0.0
28939,0.0,0.0
35001,0.0,1.0
33142,0.0,0.0
37271,0.0,0.0
9441,0.0,0.0
21159,0.0,0.0
61670,0.0,0.0
43519,0.0,0.0
46848,0.0,0.0
19572,0.0,0.0
14944,0.0,0.0
6470,0.0,0.0
20596,0.0,0.0
19714,0.0,0.0
4589,0.0,0.0
52920,0.0,0.0
13679,0.0,0.0
87177,0.0,0.0
75758,0.0,0.0
86165,0.0,0.0
39528,0.0,0.0
45241,0.0,0.0
21136,0.0,0.0
22284,0.0,0.0
32296,0.0,0.0
56637,0.0,0.0
34585,0.0,0.0
12991,0.0,0.0
55717,0.0,0.0
12585,0.0,0.0
38351,0.0,0.0
78930,0.0,0.0
82173,0.0,0.0
2324,0.0,0.0
38128,0.0,0.0
70024,0.0,0.0
3473,0.0,0.0
17858,0.0,0.0
97530,0.0,0.0
14492,0.0,0.0
82863,0.0,0.0
49563,0.0,0.0
49733,0.0,0.0
87086,0.0,0.0
97372,0.0,0.0
11049,0.0,0.0
85351,0.0,0.0
27506,0.0,0.0
66891,0.0,0.0
10561,0.0,0.0
31701,0.0,0.0
93752,0.0,0.0
11715,0.0,0.0
88595,0.0,0.0
365,0.0,0.0
16718,0.0,0.0
3786,0.0,0.0
48037,0.0,0.0
71959,0.0,0.0
52844,0.0,0.0
89047,0.0,0.0
85560,0.0,0.0
86147,0.0,0.0
22322,0.0,0.0
47285,0.0,0.0
93318,0.0,0.0
32201,0.0,0.0
27845,0.0,0.0
99076,0.0,0.0
9099,0.0,0.0
52230,0.0,0.0
60435,0.0,0.0
80428,0.0,0.0
57713,0.0,0.0
84995,0.0,0.0
86538,0.0,0.0
25608,0.0,0.0
60252,0.0,0.0
75172,0.0,0.0
19341,0.0,0.0
16555,0.0,0.0
87678,0.0,0.0
80254,0.0,0.0
51647,0.0,0.0
76917,0.0,0.0
55656,0.0,0.0
33316,0.0,0.0
37537,0.0,0.0
60277,0.0,0.0
98149,0.0,0.0
41676,0.0,0.0
8598,0.0,0.0
93617,0.0,0.0
30084,0.0,0.0
3481,0.0,0.0
23405,0.0,0.0
12559,0.0,0.0
89791,0.0,0.0
43132,0.0,0.0
49179,0.0,0.0
93873,0.0,0.0
79859,0.0,0.0
816,0.0,0.0
61649,0.0,0.0
68759,0.0,0.0
18766,0.0,0.0
60824,0.0,0.0
70002,0.0,0.0
56528,0.0,0.0
31752,0.0,0.0
58622,0.0,1.0
35687,0.0,0.0
22262,0.0,0.0
67223,0.0,0.0
24191,0.0,0.0
76932,0.0,0.0
56438,0.0,0.0
3368,0.0,0.0
20762,0.0,0.0
74630,0.0,0.0
55773,0.0,0.0
14148,0.0,0.0
49384,0.0,0.0
12321,0.0,0.0
57994,0.0,0.0
97866,1.0,0.0
35142,0.0,0.0
69392,0.0,0.0
50188,0.0,0.0
84220,0.0,0.0
9069,0.0,0.0
30611,0.0,0.0
94740,0.0,0.0
31965,0.0,0.0
12869,0.0,0.0
47161,0.0,0.0
18232,0.0,0.0
87730,0.0,0.0
19720,0.0,0.0
49480,0.0,0.0
58103,0.0,0.0
99386,0.0,0.0
85246,0.0,0.0
57461,0.0,0.0
14518,0.0,0.0
43858,0.0,0.0
96018,0.0,0.0
41438,0.0,0.0
21677,0.0,0.0
73936,0.0,0.0
8920,0.0,0.0
63095,0.0,0.0
88804,0.0,0.0
61817,0.0,0.0
15018,0.0,0.0
23760,0.0,0.0
32376,0.0,0.0
17509,0.0,0.0
10260,0.0,0.0
55327,0.0,0.0
81275,0.0,0.0
6775,0.0,0.0
25800,0.0,0.0
54760,0.0,0.0
32640,0.0,0.0
20745,0.0,0.0
73904,0.0,0.0
51290,0.0,0.0
29542,0.0,0.0
20371,0.0,0.0
99760,0.0,0.0
25517,0.0,0.0
81092,0.0,0.0
86476,0.0,0.0
32980,0.0,0.0
23855,0.0,0.0
24695,0.0,0.0
94671,0.0,0.0
82767,0.0,0.0
22804,0.0,0.0
81735,0.0,0.0
80583,0.0,0.0
98939,0.0,0.0
77050,0.0,0.0
2896,0.0,0.0
44133,0.0,0.0
21858,0.0,0.0
26092,0.0,0.0
33527,0.0,0.0
90347,0.0,0.0
13080,0.0,0.0
51984,0.0,0.0
80000,0.0,0.0
59371,0.0,0.0
89368,0.0,0.0
27127,0.0,0.0
93458,0.0,1.0
27176,0.0,0.0
65145,0.0,0.0
63459,0.0,0.0
45239,0.0,0.0
41534,0.0,0.0
28397,0.0,0.0
8337,0.0,0.0
385,0.0,1.0
80102,0.0,0.0
99436,0.0,0.0
67183,0.0,0.0
57166,0.0,0.0
32198,0.0,0.0
32103,0.0,0.0
52183,0.0,0.0
41836,0.0,1.0
13865,0.0,0.0
97901,0.0,0.0
36206,0.0,0.0
27323,0.0,0.0
74821,0.0,0.0
78135,0.0,0.0
69604,0.0,0.0
98472,0.0,0.0
26392,0.0,0.0
47687,0.0,0.0
3358,0.0,0.0
40417,0.0,0.0
65797,0.0,0.0
95950,0.0,0.0
77957,0.0,0.0
91768,0.0,0.0
8807,0.0,0.0
78247,0.0,0.0
17277,0.0,0.0
82433,0.0,0.0
18485,0.0,0.0
8174,0.0,0.0
97571,0.0,0.0
82096,0.0,0.0
55757,0.0,0.0
90611,0.0,0.0
8296,0.0,0.0
96863,0.0,0.0
66361,0.0,0.0
31736,0.0,0.0
58441,0.0,0.0
81785,0.0,0.0
76244,0.0,0.0
99706,0.0,0.0
28524,0.0,0.0
31201,0.0,0.0
6063,0.0,0.0
35318,0.0,0.0
49702,0.0,0.0
98891,0.0,0.0
35285,0.0,0.0
41176,0.0,0.0
62193,0.0,1.0
70782,0.0,0.0
37632,0.0,0.0
77192,0.0,0.0
15842,0.0,0.0
50485,0.0,0.0
31895,0.0,0.0
79354,0.0,0.0
29100,0.0,0.0
48987,0.0,0.0
41850,0.0,0.0
18785,0.0,0.0
3437,0.0,0.0
44903,0.0,0.0
76387,0.0,0.0
89643,0.0,0.0
42407,0.0,1.0
63125,0.0,0.0
66256,0.0,0.0
58326,0.0,0.0
87939,0.0,0.0
90126,0.0,0.0
10309,0.0,0.0
34325,0.0,0.0
40667,0.0,0.0
28686,0.0,0.0
69831,0.0,0.0
94169,0.0,0.0
95773,0.0,0.0
41520,0.0,0.0
44276,0.0,0.0
65439,0.0,0.0
18557,0.0,0.0
72116,0.0,0.0
18224,0.0,0.0
31151,0.0,0.0
52762,0.0,0.0
34425,0.0,0.0
4836,0.0,0.0
37168,0.0,0.0
85078,0.0,0.0
62742,0.0,0.0
52216,0.0,0.0
10990,0.0,0.0
67097,0.0,0.0
73127,0.0,0.0
57780,0.0,0.0
77039,0.0,0.0
18829,0.0,0.0
98856,0.0,0.0
95631,0.0,0.0
55115,0.0,0.0
37680,0.0,0.0
93651,0.0,0.0
56267,0.0,0.0
94243,0.0,0.0
